GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DB Access,com.codeferm.dbaccess.transaction,QueryRunnerTransInterceptor,109,0,10,0,24,0,8,0,3,0
DB Access,com.codeferm.dbaccess.transaction,AtomikosTransModule,0,22,0,0,0,5,0,2,0,2
DB Access,com.codeferm.dbaccess.transaction,AtomikosTransInterceptor,41,64,5,5,4,21,5,3,0,3
DB Access,com.codeferm.dbaccess.transaction,TransactionFactory,29,24,1,1,7,6,2,2,1,2
DB Access,com.codeferm.dbaccess.transaction,JdbcTransInterceptor,109,0,10,0,24,0,8,0,3,0
DB Access,com.codeferm.dbaccess.transaction,QueryRunnerTransModule,22,0,0,0,5,0,2,0,2,0
DB Access,com.codeferm.dbaccess.transaction,JdbcTransModule,22,0,0,0,5,0,2,0,2,0
DB Access,com.codeferm.dbaccess,DbAccessException,63,14,6,0,22,5,9,2,6,2
DB Access,com.codeferm.dbaccess,DbJdbcConn,326,386,31,33,48,101,26,17,3,8
DB Access,com.codeferm.dbaccess,DbJdbcTemplate,104,81,7,5,10,19,8,8,2,8
DB Access,com.codeferm.dbaccess,DbJdbcDs,382,436,45,39,53,124,35,17,2,8
DB Access,com.codeferm.dbaccess,DbQueryRunnerConn,211,163,7,5,25,44,11,8,5,8
DB Access,com.codeferm.dbaccess,DbBeanProcessor,0,104,0,10,0,22,0,8,0,3
DB Access,com.codeferm.dbaccess,DbBeanMapper,30,184,1,17,10,35,1,13,0,5
DB Access,com.codeferm.dbaccess,DbJdbcTemplate.new PreparedStatementCreator() {...},0,44,0,2,0,6,0,3,0,2
DB Access,com.codeferm.dbaccess,DbQueryRunnerDs,189,154,7,5,18,44,8,8,2,8
DB Access,com.codeferm.dbaccess,DbAccess,96,194,11,7,20,43,16,17,8,16
DB Access,com.codeferm.dbaccess,DbPersist,205,146,10,8,27,44,13,9,5,8
